key,data_source,species_reported,experiment_plant_id,experiment_matrix_id,experiment_treatment,experiment_day,plant_height,leaf_n,leaf_scar_n,flower_bud_n,flower_n,flower_day_rate,flowering_presence,flowering_first_day,flowering_peak_day
CS2024_000036,experiment,Chamaecrista_latistipula,P12_c,P12,rhizobium_present_organic_matter,113,0.255,14,7,0,NA,NA,TRUE,450,450
CS2024_000037,experiment,Chamaecrista_latistipula,P16_c,P16,rhizobium_present_organic_matter,113,NA,NA,NA,0,NA,NA,NA,NA,NA
CS2024_000038,experiment,Chamaecrista_latistipula,P18_c,P18,rhizobium_present_organic_matter,113,0.61,24,1,0,NA,NA,TRUE,450,450
CS2024_000039,experiment,Chamaecrista_latistipula,4109_c,4109,rhizobium_present_organic_matter,113,0.615,27,7,0,NA,NA,TRUE,220,220
CS2024_000040,experiment,Chamaecrista_latistipula,1999_c,1999,rhizobium_present_organic_matter,113,NA,NA,NA,0,NA,NA,NA,NA,NA
CS2024_000041,experiment,Chamaecrista_latistipula,1979_c,1979,rhizobium_present_organic_matter,113,0.43,25,2,0,NA,NA,FALSE,NA,NA
CS2024_000042,experiment,Chamaecrista_latistipula,2139_c,2139,rhizobium_present_organic_matter,113,0.12,2,3,0,NA,NA,NA,NA,NA
CS2024_000043,experiment,Chamaecrista_latistipula,2137_c,2137,rhizobium_present_organic_matter,113,0.1,3,0,0,NA,NA,NA,NA,NA
CS2024_000044,experiment,Chamaecrista_latistipula,1989_c,1989,rhizobium_present_organic_matter,113,0.44,26,5,0,NA,NA,TRUE,220,220
CS2024_000045,experiment,Chamaecrista_latistipula,1947_c,1947,rhizobium_present_organic_matter,113,0.17,11,4,0,NA,NA,TRUE,450,450
CS2024_000046,experiment,Chamaecrista_latistipula,2191_c,2191,rhizobium_present_organic_matter,113,0.14,11,1,0,NA,NA,FALSE,NA,NA
CS2024_000047,experiment,Chamaecrista_latistipula,P20_d,P20,rhizobium_present_sand_soil,113,0.81,35,9,2,NA,NA,TRUE,149,220
CS2024_000048,experiment,Chamaecrista_latistipula,P06_d,P06,rhizobium_present_sand_soil,113,0.945,69,7,0,NA,NA,TRUE,162,220
